city,date,weathers
Santa Cruz,1/15/20,28
Santa Cruz,2/15/20,30
Santa Cruz,3/15/20,32
Santa Cruz,4/15/20,25
Santa Cruz,5/15/20,22
Santa Cruz,6/15/20,23
Santa Cruz,7/15/20,25
Santa Cruz,8/15/20,30
Santa Cruz,9/15/20,29
Santa Cruz,10/15/20,29
Santa Cruz,11/15/20,30
Santa Cruz,12/15/20,26
Ashburn,1/15/20,17
Ashburn,2/15/20,3
Ashburn,3/15/20,7
Ashburn,4/15/20,8
Ashburn,5/15/20,22
Ashburn,6/15/20,19
Ashburn,7/15/20,27
Ashburn,8/15/20,24
Ashburn,9/15/20,20
Ashburn,10/15/20,17
Ashburn,11/15/20,10
Ashburn,12/15/20,3
Salt Lake City,1/15/20,-3
Salt Lake City,2/15/20,2
Salt Lake City,3/15/20,11
Salt Lake City,4/15/20,6
Salt Lake City,5/15/20,15
Salt Lake City,6/15/20,21
Salt Lake City,7/15/20,26
Salt Lake City,8/15/20,29
Salt Lake City,9/15/20,26
Salt Lake City,10/15/20,11
Salt Lake City,11/15/20,4
Salt Lake City,12/15/20,-3
Storrs,1/15/20,5
Storrs,2/15/20,-5
Storrs,3/15/20,3
Storrs,4/15/20,7
Storrs,5/15/20,18
Storrs,6/15/20,20
Storrs,7/15/20,22
Storrs,8/15/20,22
Storrs,9/15/20,16
Storrs,10/15/20,16
Storrs,11/15/20,7
Storrs,12/15/20,-2
Stony Brook,1/15/20,6
Stony Brook,2/15/20,-5
Stony Brook,3/15/20,5
Stony Brook,4/15/20,7
Stony Brook,5/15/20,17
Stony Brook,6/15/20,18
Stony Brook,7/15/20,23
Stony Brook,8/15/20,23
Stony Brook,9/15/20,16
Stony Brook,10/15/20,19
Stony Brook,11/15/20,12
Stony Brook,12/15/20,2
Lawrence,1/15/20,4
Lawrence,2/15/20,4
Lawrence,3/15/20,3
Lawrence,4/15/20,7
Lawrence,5/15/20,19
Lawrence,6/15/20,26
Lawrence,7/15/20,25
Lawrence,8/15/20,23
Lawrence,9/15/20,20
Lawrence,10/15/20,12
Lawrence,11/15/20,10
Lawrence,12/15/20,0
Buffalo,1/15/20,3
Buffalo,2/15/20,-6
Buffalo,3/15/20,0
Buffalo,4/15/20,3
Buffalo,5/15/20,16
Buffalo,6/15/20,18
Buffalo,7/15/20,26
Buffalo,8/15/20,23
Buffalo,9/15/20,17
Buffalo,10/15/20,15
Buffalo,11/15/20,8
Buffalo,12/15/20,-3
Riverside,1/15/20,13
Riverside,2/15/20,18
Riverside,3/15/20,13
Riverside,4/15/20,23
Riverside,5/15/20,23
Riverside,6/15/20,25
Riverside,7/15/20,27
Riverside,8/15/20,36
Riverside,9/15/20,34
Riverside,10/15/20,31
Riverside,11/15/20,24
Riverside,12/15/20,16
Denver,1/15/20,3
Denver,2/15/20,0
Denver,3/15/20,9
Denver,4/15/20,5
Denver,5/15/20,17
Denver,6/15/20,28
Denver,7/15/20,26
Denver,8/15/20,30
Denver,9/15/20,27
